ref_no,event_ts,debit_acct,credit_acct,txn_value,ccy,activity_code,channel_cd,orig_ctry,dest_ctry,aml_flag,typology
T-000023,2025-03-07 14:47:00.000000,ACC-N0182,ACC-SMF08,7175.36,USD,DEP,ATM,CA,US,,
T-000024,2025-04-17 22:55:00.000000,ACC-STR09,ACC-N0035,8989.96,USD,CSH,BRN,US,US,Y,STRUCTURING
T-000025,2025-05-15 22:07:00.000000,ACC-N0004,ACC-N0138,14680.19,USD,DEP,BRN,AU,JP,,
T-000026,2025-04-14 10:02:00.000000,ACC-N0073,ACC-N0052,10431.18,USD,WD,BRN,CA,DE,,
T-000027,2025-03-24 06:55:00.000000,ACC-STR01,ACC-STR10,13477.95,USD,XFER,MOB,CA,FR,,
T-000028,2025-05-11 20:29:20.349521,ACC-HUB04,ACC-SMF24,7783.78,USD,XFER,ONL,US,US,Y,SMURFING
T-000029,2025-05-25 22:19:00.000000,ACC-N0164,ACC-STR11,7650.83,USD,DEP,ATM,SG,AU,,
T-000030,2025-03-24 07:19:00.000000,ACC-N0167,ACC-LAY01,9653.54,USD,XFER,MOB,DE,AU,,
T-000031,2025-05-03 00:52:00.000000,ACC-HUB01,ACC-N0133,9077.5,USD,WD,BRN,US,AU,,
T-000032,2025-03-23 09:06:00.000000,ACC-N0015,ACC-RCO04,13054.15,USD,DEP,BRN,CA,JP,,
T-000033,2025-03-16 08:18:00.000000,ACC-STR10,ACC-N0106,13172.02,USD,XFER,MOB,FR,JP,,
T-000034,2025-03-09 21:38:00.000000,ACC-STR08,ACC-N0112,8921.81,USD,XFER,BRN,US,US,Y,STRUCTURING
T-000035,2025-04-15 18:00:00.000000,ACC-N0171,ACC-STR10,12496.83,USD,WD,BRN,FR,GB,,
T-000036,2025-03-25 13:59:00.000000,ACC-N0041,ACC-N0161,1212.82,USD,DEP,ATM,GB,GB,,
T-000037,2025-03-14 15:06:00.000000,ACC-N0064,ACC-N0190,972.18,USD,XFER,MOB,SG,CA,,
T-000038,2025-04-05 00:39:00.000000,ACC-N0117,ACC-N0007,5716.82,USD,XFER,ONL,SG,US,,
T-000039,2025-05-11 04:11:00.000000,ACC-LAY05,ACC-LAY06,270575.65,USD,WIRE,WR,US,DE,Y,LAYERING
T-000040,2025-04-21 05:34:00.000000,ACC-N0110,ACC-STR06,2172.3,USD,DEP,ATM,FR,US,,
T-000041,2025-04-22 22:38:00.000000,ACC-N0123,ACC-LAY12,9582.83,USD,DEP,BRN,US,CA,,
T-000042,2025-05-24 14:17:00.000000,ACC-SMF14,ACC-N0061,14010.96,USD,WD,ATM,AU,FR,,
T-000043,2025-05-18 18:56:00.000000,ACC-N0042,ACC-N0083,8785.94,USD,WD,BRN,AU,US,,
T-000044,2025-03-28 16:29:00.000000,ACC-N0213,ACC-N0087,265.94,USD,WD,BRN,DE,US,,
T-000045,2025-03-03 05:18:16.056483,ACC-RCO02,ACC-N0084,12738.92,USD,CSH,BRN,US,US,Y,RAPID_CASHOUT
T-000046,2025-05-18 20:22:10.841114,ACC-HUB01,ACC-SMF06,8668.67,USD,XFER,ONL,US,US,Y,SMURFING
T-000047,2025-04-03 23:14:07.087618,ACC-RCO03,ACC-N0218,3931.17,USD,CSH,BRN,US,US,Y,RAPID_CASHOUT
T-000048,2025-05-27 12:24:00.000000,ACC-STR04,ACC-LAY19,8814.29,USD,CSH,ATM,US,US,Y,STRUCTURING
T-000049,2025-03-04 02:00:00.000000,ACC-N0182,ACC-RCO04,2423.19,USD,XFER,MOB,GB,SG,,
T-000050,2025-05-18 04:17:00.000000,ACC-N0105,ACC-N0144,12786.24,USD,XFER,ONL,GB,FR,,
T-000051,2025-04-19 01:53:00.000000,ACC-N0183,ACC-N0139,6173.18,USD,XFER,MOB,AU,GB,,
T-000052,2025-04-16 22:39:00.000000,ACC-N0156,ACC-N0088,11962.52,USD,WD,BRN,DE,US,,
T-000053,2025-03-31 08:22:25.802236,ACC-HUB03,ACC-SMF18,8001.4,USD,XFER,ONL,US,US,Y,SMURFING
T-000054,2025-04-02 23:32:00.000000,ACC-STR07,ACC-N0081,9031.25,USD,XFER,ATM,US,US,Y,STRUCTURING
T-000055,2025-04-03 23:31:00.000000,ACC-N0174,ACC-N0198,12029.75,USD,XFER,MOB,CA,SG,,
T-000056,2025-03-09 16:49:00.000000,ACC-SMF07,ACC-LAY21,12661.02,USD,XFER,ONL,GB,FR,,
T-000057,2025-03-01 10:21:00.000000,ACC-N0055,ACC-N0043,10984.36,USD,DEP,BRN,GB,DE,,
T-000058,2025-04-10 07:28:00.000000,ACC-N0132,ACC-N0046,2683.36,USD,WD,BRN,SG,JP,,
T-000059,2025-03-25 21:05:00.000000,ACC-N0014,ACC-N0031,112.04,USD,DEP,ATM,JP,FR,,
T-000060,2025-05-24 05:14:00.000000,ACC-STR04,ACC-LAY19,9119.61,USD,CSH,ATM,US,US,Y,STRUCTURING
T-000061,2025-05-11 09:42:00.000000,ACC-N0176,ACC-N0105,1315.25,USD,XFER,ONL,AU,DE,,
T-000062,2025-04-18 08:22:00.000000,ACC-N0071,ACC-N0088,944.53,USD,WD,BRN,DE,CA,,
T-000063,2025-04-19 13:57:00.000000,ACC-N0038,ACC-N0128,5929.35,USD,XFER,MOB,SG,DE,,
T-000064,2025-05-07 20:42:15.363589,ACC-RCO09,ACC-N0030,5692.37,USD,CSH,ATM,US,US,Y,RAPID_CASHOUT
T-000065,2025-05-29 13:51:00.000000,ACC-RCO02,ACC-N0122,14805.13,USD,XFER,ONL,CA,AU,,
T-000066,2025-03-01 04:36:00.000000,ACC-N0114,ACC-N0170,11975.92,USD,DEP,BRN,JP,AU,,
T-000067,2025-05-11 23:35:00.000000,ACC-N0011,ACC-N0132,13509.79,USD,XFER,ONL,US,US,,
T-000068,2025-03-28 21:06:00.000000,ACC-N0018,ACC-LAY13,5720.32,USD,XFER,ONL,DE,AU,,
T-000069,2025-05-02 10:14:00.000000,ACC-LAY21,ACC-N0078,7885.59,USD,DEP,ATM,CA,DE,,
T-000070,2025-04-17 12:23:00.000000,ACC-STR09,ACC-N0035,9062.56,USD,CSH,ATM,US,US,Y,STRUCTURING
T-000071,2025-03-12 03:24:00.000000,ACC-N0214,ACC-N0109,2610.23,USD,WD,ATM,CA,DE,,
T-000072,2025-05-18 10:20:00.000000,ACC-N0028,ACC-HUB01,62677.53,USD,WIRE,WR,US,US,Y,SMURFING
T-000073,2025-03-05 07:51:00.000000,ACC-N0035,ACC-N0179,8299.9,USD,WD,BRN,SG,AU,,
T-000074,2025-03-21 01:38:00.000000,ACC-SMF01,ACC-LAY21,9049.04,USD,DEP,ATM,FR,US,,
T-000075,2025-05-02 23:36:00.000000,ACC-N0081,ACC-STR10,4245.17,USD,XFER,ONL,SG,GB,,
T-000076,2025-05-24 21:21:00.000000,ACC-N0167,ACC-LAY24,8382.88,USD,WD,BRN,DE,AU,,
T-000077,2025-03-16 04:21:00.000000,ACC-STR07,ACC-N0193,13106.74,USD,XFER,MOB,JP,GB,,
T-000078,2025-05-01 07:23:00.000000,ACC-N0152,ACC-STR11,14133.34,USD,WD,ATM,GB,SG,,
T-000079,2025-05-21 08:33:00.000000,ACC-N0066,ACC-N0105,1329.76,USD,WD,ATM,AU,AU,,
T-000080,2025-04-04 10:49:00.000000,ACC-N0159,ACC-N0112,1299.78,USD,XFER,ONL,CA,GB,,
T-000081,2025-03-25 00:24:00.000000,ACC-LAY19,ACC-LAY20,362439.85,USD,WIRE,WR,GB,FR,Y,LAYERING
T-000082,2025-03-17 11:10:00.000000,ACC-N0152,ACC-N0155,9504.81,USD,XFER,MOB,SG,CA,,
T-000083,2025-03-03 08:55:00.000000,ACC-N0046,ACC-STR04,5968.32,USD,DEP,ONL,US,JP,,
T-000084,2025-03-10 13:41:00.000000,ACC-N0206,ACC-RCO09,1106.81,USD,DEP,ONL,SG,US,,
T-000085,2025-05-15 08:00:00.000000,ACC-N0215,ACC-LAY10,5683.39,USD,XFER,ONL,US,AU,,
T-000086,2025-04-11 12:48:00.000000,ACC-N0109,ACC-N0078,4779.86,USD,WD,BRN,GB,SG,,
T-000087,2025-05-20 14:21:00.000000,ACC-N0144,ACC-N0063,4814.71,USD,XFER,MOB,SG,DE,,
T-000088,2025-03-21 11:29:00.000000,ACC-LAY22,ACC-N0180,14827.63,USD,DEP,BRN,AU,SG,,
T-000089,2025-04-23 19:34:00.000000,ACC-STR04,ACC-HUB01,8004.13,USD,WD,BRN,CA,SG,,
T-000090,2025-03-28 22:37:00.000000,ACC-SMF02,ACC-STR07,14056.63,USD,XFER,ONL,SG,GB,,
T-000091,2025-03-07 14:26:00.000000,ACC-N0186,ACC-RCO08,38614.47,USD,WIRE,WR,JP,US,Y,RAPID_CASHOUT
T-000092,2025-03-22 16:01:00.000000,ACC-N0087,ACC-N0196,12053.23,USD,XFER,MOB,GB,CA,,
T-000093,2025-03-29 11:37:00.000000,ACC-SMF12,ACC-N0177,11271.64,USD,XFER,MOB,DE,US,,
T-000094,2025-05-18 20:46:09.131104,ACC-HUB01,ACC-SMF04,7850.84,USD,XFER,ONL,US,US,Y,SMURFING
T-000095,2025-03-08 10:01:40.681222,ACC-RCO08,ACC-N0186,8711.93,USD,CSH,BRN,US,US,Y,RAPID_CASHOUT
T-000096,2025-03-01 08:40:00.000000,ACC-N0025,ACC-RCO03,10938.12,USD,WD,BRN,GB,SG,,
T-000097,2025-03-17 04:13:00.000000,ACC-LAY14,ACC-LAY15,121906.45,USD,WIRE,WR,AU,GB,Y,LAYERING
T-000098,2025-05-01 07:59:00.000000,ACC-N0078,ACC-N0047,4862.29,USD,XFER,ONL,JP,CA,,
T-000099,2025-04-16 06:39:00.000000,ACC-N0029,ACC-N0087,6678.97,USD,DEP,BRN,DE,US,,
T-000100,2025-04-03 19:05:00.000000,ACC-N0206,ACC-N0038,4536.03,USD,XFER,MOB,JP,FR,,
T-000101,2025-03-12 14:19:00.000000,ACC-N0170,ACC-RCO04,34556.99,USD,WIRE,WR,JP,US,Y,RAPID_CASHOUT
T-000102,2025-03-01 16:44:00.000000,ACC-N0172,ACC-N0071,6423.47,USD,WD,ATM,SG,CA,,
T-000103,2025-03-20 09:19:00.000000,ACC-LAY07,ACC-N0039,14393.31,USD,DEP,ONL,JP,DE,,
T-000104,2025-03-10 21:04:00.000000,ACC-N0203,ACC-N0185,6841.39,USD,DEP,BRN,JP,DE,,
T-000105,2025-05-05 13:17:00.000000,ACC-SMF15,ACC-SMF18,3238.93,USD,XFER,MOB,CA,FR,,
T-000106,2025-04-18 18:52:00.000000,ACC-N0189,ACC-N0085,8711.37,USD,XFER,MOB,GB,US,,
T-000107,2025-03-23 22:34:00.000000,ACC-N0212,ACC-N0070,1368.83,USD,XFER,MOB,AU,GB,,
T-000108,2025-03-27 00:53:00.000000,ACC-N0052,ACC-N0175,2411.74,USD,WD,ATM,US,US,,
T-000109,2025-04-21 16:30:00.000000,ACC-N0181,ACC-N0088,11733.86,USD,XFER,MOB,JP,AU,,
T-000110,2025-05-18 02:23:00.000000,ACC-RCO03,ACC-N0215,3086.58,USD,XFER,MOB,FR,AU,,
T-000111,2025-05-14 05:49:00.000000,ACC-N0094,ACC-N0181,2813.9,USD,XFER,MOB,DE,DE,,
T-000112,2025-03-06 00:05:00.000000,ACC-N0206,ACC-N0202,4082.29,USD,WD,ATM,GB,GB,,
T-000113,2025-04-04 01:27:51.674389,ACC-RCO03,ACC-N0107,3931.17,USD,CSH,ATM,US,US,Y,RAPID_CASHOUT
T-000114,2025-04-13 07:24:00.000000,ACC-N0104,ACC-N0184,14846.43,USD,WD,ATM,AU,AU,,
T-000115,2025-04-17 23:54:00.000000,ACC-N0089,ACC-N0021,5063.43,USD,WD,BRN,SG,US,,
T-000116,2025-04-30 10:57:00.000000,ACC-STR07,ACC-RCO06,32180.65,USD,WIRE,WR,GB,US,Y,RAPID_CASHOUT
T-000117,2025-04-18 10:36:00.000000,ACC-N0012,ACC-N0030,11816.4,USD,XFER,MOB,US,SG,,
T-000118,2025-05-27 09:10:00.000000,ACC-N0121,ACC-N0193,14790.73,USD,XFER,ONL,US,JP,,
T-000119,2025-05-07 16:32:00.000000,ACC-N0005,ACC-N0218,1418.3,USD,XFER,MOB,US,CA,,
T-000120,2025-04-25 09:37:00.000000,ACC-LAY22,ACC-N0201,4854.19,USD,XFER,MOB,SG,SG,,
T-000121,2025-04-27 13:09:00.000000,ACC-N0196,ACC-N0057,13619.2,USD,XFER,MOB,CA,AU,,
T-000122,2025-04-23 11:24:00.000000,ACC-LAY09,ACC-N0108,5897.39,USD,WD,BRN,FR,AU,,
T-000123,2025-04-09 13:28:00.000000,ACC-N0028,ACC-N0023,3586.93,USD,DEP,ONL,FR,AU,,
T-000124,2025-05-12 01:02:00.000000,ACC-N0064,ACC-N0057,9617.13,USD,WD,ATM,US,SG,,
T-000125,2025-03-18 04:11:00.000000,ACC-N0171,ACC-LAY21,14496.11,USD,XFER,ONL,JP,DE,,
T-000126,2025-03-31 07:00:00.000000,ACC-N0120,ACC-N0055,2774.78,USD,DEP,BRN,US,JP,,
T-000127,2025-05-09 19:08:00.000000,ACC-N0104,ACC-N0120,8291.12,USD,XFER,ONL,DE,DE,,
T-000128,2025-04-12 12:59:00.000000,ACC-N0009,ACC-N0133,8830.72,USD,XFER,MOB,US,GB,,
T-000129,2025-03-28 23:59:00.000000,ACC-STR07,ACC-N0110,8005.45,USD,XFER,MOB,SG,CA,,
T-000130,2025-05-19 19:01:04.420027,ACC-HUB01,ACC-SMF06,9343.13,USD,XFER,ONL,US,US,Y,SMURFING
T-000131,2025-04-17 06:21:00.000000,ACC-N0039,ACC-N0154,1175.88,USD,XFER,ONL,AU,US,,
T-000132,2025-03-08 09:48:00.000000,ACC-N0052,ACC-N0191,8728.69,USD,XFER,ONL,GB,US,,
T-000133,2025-05-21 16:30:00.000000,ACC-N0119,ACC-N0013,8516.18,USD,XFER,MOB,FR,JP,,
T-000134,2025-05-29 18:09:00.000000,ACC-HUB01,ACC-N0142,10634.99,USD,XFER,ONL,FR,JP,,
T-000135,2025-03-04 14:09:00.000000,ACC-N0184,ACC-LAY12,10102.13,USD,XFER,MOB,US,DE,,
T-000136,2025-04-21 05:09:00.000000,ACC-N0177,ACC-N0092,6613.7,USD,WD,BRN,JP,US,,
T-000137,2025-05-04 20:17:00.000000,ACC-LAY23,ACC-N0216,3898.59,USD,DEP,ATM,GB,FR,,
T-000138,2025-05-10 17:54:53.302653,ACC-HUB04,ACC-SMF21,7627.49,USD,XFER,ONL,US,US,Y,SMURFING
T-000139,2025-03-13 05:17:45.390472,ACC-RCO04,ACC-N0106,8433.8,USD,CSH,ATM,US,US,Y,RAPID_CASHOUT
T-000140,2025-04-15 23:09:00.000000,ACC-SMF02,ACC-N0185,9295.71,USD,WD,BRN,AU,CA,,
T-000141,2025-03-30 00:00:00.000000,ACC-N0094,ACC-N0109,3360.71,USD,WD,BRN,FR,SG,,
T-000142,2025-03-02 11:19:43.801651,ACC-HUB02,ACC-SMF12,8435.04,USD,XFER,ONL,US,US,Y,SMURFING
T-000143,2025-03-23 10:18:00.000000,ACC-STR11,ACC-N0088,9502.83,USD,CSH,ATM,US,US,Y,STRUCTURING
T-000144,2025-05-09 06:25:00.000000,ACC-N0107,ACC-N0201,13605.77,USD,WD,ATM,US,FR,,
T-000145,2025-03-17 16:13:00.000000,ACC-LAY15,ACC-LAY16,124738.37,USD,WIRE,WR,GB,SG,Y,LAYERING
T-000146,2025-04-30 18:14:00.000000,ACC-N0037,ACC-SMF06,3729.84,USD,XFER,ONL,DE,DE,,
T-000147,2025-03-01 18:44:00.000000,ACC-N0028,ACC-SMF11,13222.95,USD,WD,BRN,US,GB,,
T-000148,2025-04-17 09:14:00.000000,ACC-N0081,ACC-N0166,12863.92,USD,XFER,MOB,CA,US,,
T-000149,2025-03-11 11:39:00.000000,ACC-N0067,ACC-LAY21,1479.36,USD,DEP,ONL,DE,CA,,
T-000150,2025-04-21 01:00:00.000000,ACC-N0076,ACC-N0058,4333.04,USD,XFER,ONL,FR,GB,,
T-000151,2025-03-22 20:47:00.000000,ACC-N0031,ACC-N0118,8378.85,USD,XFER,ONL,AU,SG,,
T-000152,2025-03-27 09:52:00.000000,ACC-N0002,ACC-N0067,13783.2,USD,XFER,ONL,SG,JP,,
T-000153,2025-03-21 17:54:00.000000,ACC-N0152,ACC-N0216,526.7,USD,WD,ATM,GB,US,,
T-000154,2025-05-28 17:10:00.000000,ACC-SMF11,ACC-N0179,1637.3,USD,DEP,ATM,FR,DE,,
T-000155,2025-04-13 04:48:00.000000,ACC-N0052,ACC-N0014,10552.15,USD,XFER,MOB,DE,DE,,
T-000156,2025-03-21 06:16:00.000000,ACC-STR01,ACC-SMF24,9254.83,USD,CSH,BRN,US,US,Y,STRUCTURING
T-000157,2025-03-06 03:58:00.000000,ACC-N0018,ACC-N0002,11029.36,USD,WD,ATM,JP,SG,,
T-000158,2025-04-08 14:59:00.000000,ACC-N0093,ACC-N0099,10692.01,USD,XFER,MOB,SG,DE,,
T-000159,2025-04-30 19:35:00.000000,ACC-SMF11,ACC-N0077,8884.87,USD,WD,BRN,DE,US,,
T-000160,2025-05-26 14:50:00.000000,ACC-SMF14,ACC-N0100,8390.53,USD,DEP,ONL,JP,CA,,
T-000161,2025-04-05 22:30:00.000000,ACC-N0050,ACC-STR04,5517.0,USD,DEP,ONL,DE,DE,,
T-000162,2025-05-23 09:15:00.000000,ACC-N0044,ACC-N0197,1393.28,USD,DEP,BRN,DE,AU,,
T-000163,2025-04-09 14:02:00.000000,ACC-N0219,ACC-LAY05,9032.08,USD,WD,BRN,DE,CA,,
T-000164,2025-05-01 13:46:00.000000,ACC-N0160,ACC-N0135,14044.47,USD,DEP,ONL,US,US,,
T-000165,2025-03-19 12:28:00.000000,ACC-LAY15,ACC-N0013,3484.71,USD,DEP,ONL,CA,CA,,
T-000166,2025-03-20 23:06:00.000000,ACC-N0175,ACC-N0047,2524.24,USD,XFER,ONL,AU,JP,,
T-000167,2025-05-14 16:26:00.000000,ACC-N0082,ACC-N0201,5274.12,USD,XFER,MOB,AU,US,,
T-000168,2025-04-26 15:12:00.000000,ACC-N0068,ACC-N0093,13993.38,USD,DEP,ATM,DE,US,,
T-000169,2025-04-26 21:37:00.000000,ACC-LAY07,ACC-N0204,11705.27,USD,DEP,ONL,SG,SG,,
T-000170,2025-05-23 22:04:00.000000,ACC-N0210,ACC-STR06,613.25,USD,XFER,ONL,GB,JP,,
T-000171,2025-03-10 12:08:00.000000,ACC-STR04,ACC-LAY08,10319.63,USD,DEP,ATM,DE,AU,,
T-000172,2025-03-14 01:25:00.000000,ACC-N0070,ACC-N0006,5394.65,USD,DEP,ATM,AU,FR,,
T-000173,2025-04-13 00:13:00.000000,ACC-N0109,ACC-LAY13,13793.55,USD,WD,BRN,AU,AU,,
T-000174,2025-03-13 22:17:00.000000,ACC-SMF09,ACC-LAY17,2318.26,USD,XFER,MOB,US,SG,,
T-000175,2025-04-30 15:08:00.000000,ACC-N0015,ACC-N0059,14641.99,USD,XFER,ONL,CA,CA,,
T-000176,2025-03-11 20:17:00.000000,ACC-N0042,ACC-SMF07,12242.26,USD,DEP,BRN,CA,JP,,
T-000177,2025-03-16 12:39:00.000000,ACC-STR10,ACC-N0204,9430.67,USD,CSH,BRN,US,US,Y,STRUCTURING
T-000178,2025-03-06 09:00:00.000000,ACC-SMF05,ACC-N0075,13890.43,USD,XFER,MOB,CA,AU,,
T-000179,2025-04-25 10:26:00.000000,ACC-N0175,ACC-N0016,8117.51,USD,WD,ATM,SG,FR,,
T-000180,2025-05-06 14:40:00.000000,ACC-N0045,ACC-N0199,6133.54,USD,XFER,ONL,GB,JP,,
T-000181,2025-04-19 19:09:00.000000,ACC-N0028,ACC-N0068,5686.81,USD,XFER,MOB,AU,CA,,
T-000182,2025-04-03 11:33:00.000000,ACC-STR07,ACC-N0081,8833.52,USD,XFER,BRN,US,US,Y,STRUCTURING
T-000183,2025-05-28 15:36:00.000000,ACC-N0099,ACC-LAY18,8546.59,USD,WD,BRN,US,SG,,
T-000184,2025-04-26 23:06:00.000000,ACC-SMF24,ACC-N0090,9618.33,USD,DEP,ONL,FR,US,,
T-000185,2025-04-03 07:13:00.000000,ACC-N0071,ACC-N0086,6670.58,USD,XFER,MOB,DE,CA,,
T-000186,2025-05-01 11:53:00.000000,ACC-N0209,ACC-N0062,2497.55,USD,XFER,MOB,US,CA,,
T-000187,2025-03-30 04:35:00.000000,ACC-N0187,ACC-N0206,14938.49,USD,DEP,ONL,AU,JP,,
T-000188,2025-03-27 14:28:00.000000,ACC-N0139,ACC-N0083,12085.41,USD,WD,ATM,GB,JP,,
T-000189,2025-04-15 19:16:00.000000,ACC-LAY05,ACC-N0010,6516.42,USD,XFER,ONL,US,SG,,
T-000190,2025-05-19 00:12:00.000000,ACC-N0169,ACC-N0066,3790.01,USD,XFER,MOB,DE,AU,,
T-000191,2025-04-26 21:45:00.000000,ACC-N0197,ACC-N0062,9561.95,USD,DEP,BRN,US,DE,,
T-000192,2025-03-09 03:36:00.000000,ACC-N0200,ACC-N0178,11124.75,USD,DEP,ATM,DE,CA,,
T-000193,2025-03-24 21:27:00.000000,ACC-RCO06,ACC-LAY18,5160.57,USD,XFER,MOB,FR,AU,,
T-000194,2025-04-23 08:00:00.000000,ACC-N0028,ACC-N0100,4363.32,USD,XFER,ONL,JP,SG,,
T-000195,2025-05-03 18:17:00.000000,ACC-N0043,ACC-STR04,8806.35,USD,XFER,ONL,GB,CA,,
T-000196,2025-05-23 18:49:00.000000,ACC-N0049,ACC-N0214,1361.92,USD,DEP,BRN,GB,CA,,
T-000197,2025-05-05 09:23:00.000000,ACC-RCO01,ACC-N0026,3391.11,USD,WD,ATM,AU,FR,,
T-000198,2025-04-30 17:27:00.000000,ACC-STR05,ACC-N0048,9438.39,USD,CSH,BRN,US,US,Y,STRUCTURING
T-000199,2025-03-06 09:37:00.000000,ACC-N0125,ACC-N0107,13614.03,USD,XFER,ONL,AU,CA,,
T-000200,2025-03-13 16:44:00.000000,ACC-N0015,ACC-N0048,3681.86,USD,DEP,BRN,AU,FR,,
T-000201,2025-05-26 11:09:00.000000,ACC-STR04,ACC-LAY19,9903.66,USD,XFER,ATM,US,US,Y,STRUCTURING
T-000202,2025-05-23 16:33:00.000000,ACC-N0128,ACC-N0212,11224.46,USD,XFER,MOB,GB,SG,,
T-000203,2025-03-27 03:48:00.000000,ACC-N0072,ACC-STR06,7288.95,USD,XFER,MOB,US,JP,,
T-000204,2025-04-06 09:17:00.000000,ACC-N0189,ACC-N0113,4543.28,USD,DEP,ATM,FR,AU,,
T-000205,2025-04-21 02:35:03.709582,ACC-RCO05,ACC-N0024,9954.17,USD,CSH,ATM,US,US,Y,RAPID_CASHOUT
T-000206,2025-03-03 10:39:00.000000,ACC-N0179,ACC-N0167,12658.57,USD,XFER,ONL,US,GB,,
T-000207,2025-04-28 15:34:00.000000,ACC-N0146,ACC-SMF04,9632.14,USD,XFER,MOB,DE,SG,,
T-000208,2025-05-03 11:22:00.000000,ACC-N0168,ACC-N0203,4022.13,USD,XFER,MOB,DE,CA,,
T-000209,2025-03-24 12:24:00.000000,ACC-LAY18,ACC-LAY19,363777.57,USD,WIRE,WR,JP,GB,Y,LAYERING
T-000210,2025-04-02 21:46:00.000000,ACC-N0152,ACC-STR01,3336.93,USD,DEP,ATM,CA,US,,
T-000211,2025-03-22 09:07:00.000000,ACC-N0128,ACC-N0105,14454.76,USD,XFER,MOB,US,US,,
T-000212,2025-04-14 18:22:00.000000,ACC-N0173,ACC-N0129,1094.64,USD,XFER,ONL,SG,AU,,
T-000213,2025-05-06 14:08:00.000000,ACC-N0120,ACC-N0180,14462.95,USD,XFER,ONL,SG,SG,,
T-000214,2025-03-02 12:55:00.000000,ACC-N0009,ACC-N0193,1002.86,USD,WD,ATM,AU,SG,,
T-000215,2025-04-25 03:55:00.000000,ACC-N0210,ACC-N0135,3079.44,USD,XFER,ONL,US,DE,,
T-000216,2025-03-21 23:25:00.000000,ACC-N0088,ACC-N0150,1740.24,USD,XFER,ONL,FR,CA,,
T-000217,2025-04-16 07:22:00.000000,ACC-N0022,ACC-N0139,4753.32,USD,XFER,ONL,AU,JP,,
T-000218,2025-03-01 08:55:00.000000,ACC-N0044,ACC-N0129,14432.99,USD,DEP,ONL,SG,JP,,
T-000219,2025-03-27 00:15:00.000000,ACC-N0002,ACC-RCO04,11356.4,USD,XFER,MOB,AU,AU,,
T-000220,2025-05-24 11:33:00.000000,ACC-N0138,ACC-N0185,1237.53,USD,XFER,ONL,SG,US,,
T-000221,2025-05-26 00:46:00.000000,ACC-STR02,ACC-N0085,6888.98,USD,WD,BRN,FR,GB,,
T-000222,2025-03-20 17:24:00.000000,ACC-N0130,ACC-N0026,1475.34,USD,XFER,MOB,DE,US,,
